"Seq","Date","Time","LatGPS","LonGPS","Alt","Roll","Pitch","Yaw","Pixel x","Pixel y","Letter","Conf.","Lat","Lon"
0.0,"2019-06-14","13-52-52",51.1297338,-2.2431091,0.031,-0.0745711475610733,-0.007281113415956497,-2.744286060333252,1556.47216796875,689.8724365234375,"E",0.62013674,51.129733854850514,-2.243109212766126
1.0,"2019-06-14","13-52-52",51.1297342,-2.2431084,0.041,-0.07432316243648529,-0.007615525275468826,-2.744354009628296,1215.3431396484375,637.3463745117188,"E",0.81379366,51.129734224358025,-2.243108435272324
2.0,"2019-06-14","13-52-53",51.1297346,-2.2431078,0.05,-0.07423939555883408,-0.007595494389533997,-2.7443783283233643,1191.70361328125,623.5531005859375,"E",0.7550229,51.12973462222409,-2.243107838761341
3.0,"2019-06-14","13-52-53",51.1297346,-2.2431074,0.055,-0.07357512414455414,-0.007788941264152527,-2.744438648223877,1193.432861328125,639.1135864257812,"E",0.69879174,51.129734629388764,-2.2431074423630317
4.0,"2019-06-14","13-52-53",51.1297347,-2.2431071,0.058,-0.07357512414455414,-0.007788941264152527,-2.744438648223877,1192.0238037109375,651.9849853515625,"E",0.6553584,51.129734734952024,-2.2431071419149977
5.0,"2019-06-14","13-52-53",51.1297347,-2.2431068,0.061,-0.07351639866828918,-0.007519975304603577,-2.7444350719451904,1181.4234619140625,650.505859375,"E",0.6101872,51.12973473464025,-2.2431068393613307
6.0,"2019-06-14","13-52-53",51.1297347,-2.2431066,0.064,-0.0733155906200409,-0.0072660669684410095,-2.7445249557495117,1171.593505859375,645.9942016601562,"E",0.6868752,51.12973473315537,-2.24310663759667
7.0,"2019-06-14","13-52-53",51.1297347,-2.2431065,0.065,-0.0733155906200409,-0.0072660669684410095,-2.7445249557495117,1162.8074951171875,637.5953369140625,"E",0.58827263,51.129734729060885,-2.243106535381297
8.0,"2019-06-14","13-52-53",51.1297348,-2.2431064,0.066,-0.07337378710508347,-0.007117658853530884,-2.7444918155670166,1160.2900390625,637.08349609375,"E",0.57590866,51.12973482892785,-2.2431064346993237
9.0,"2019-06-14","13-52-53",51.1297347,-2.2431062,0.065,-0.07331790775060654,-0.006960805505514145,-2.7445225715637207,1160.23779296875,641.61474609375,"E",0.63461554,51.129734730315725,-2.2431062327027633
10.0,"2019-06-14","13-52-53",51.1297347,-2.2431062,0.065,-0.07331790775060654,-0.006960805505514145,-2.7445225715637207,1161.691162109375,642.8062744140625,"E",0.6528505,51.129734730997704,-2.2431062332620555
11.0,"2019-06-14","13-52-53",51.1297347,-2.2431062,0.065,-0.07344819605350494,-0.006676703691482544,-2.7445080280303955,1168.2984619140625,645.583984375,"E",0.58807147,51.12973473323246,-2.243106236274768
12.0,"2019-06-14","13-52-54",51.1297344,-2.2431058,0.002,-0.07325924187898636,-0.006177116185426712,-2.7446136474609375,1173.3154296875,650.0523681640625,"E",0.5737103,51.129734403669744,-2.2431057843799387
13.0,"2019-06-14","13-52-54",51.1297344,-2.2431058,0.002,-0.07325924187898636,-0.006177116185426712,-2.7446136474609375,1221.4097900390625,650.6026611328125,"E",0.71400344,51.12973440391538,-2.243105785257139
14.0,"2019-06-14","13-52-54",51.1297343,-2.2431057,0.0,-0.0729101374745369,-0.006177958101034164,-2.7446749210357666,1411.8927001953125,652.724853515625,"F",0.5045788,51.12973430264262,-2.243105682674951
15.0,"2019-06-14","13-52-54",51.129734,-2.2431054,-0.007,-0.07292871922254562,-0.005729198455810547,-2.74462628364563,1636.69091796875,693.8983154296875,"E",0.5715065,51.129733989174596,-2.2431053481849244
16.0,"2019-06-14","13-53-07",51.129725,-2.243102,-0.001,-0.001931103877723217,-0.007623378187417984,-2.735534906387329,635.7999877929688,1178.9000244140625,"1",0.35784477,51.129725000203784,-2.2431019879379566
17.0,"2019-06-14","13-53-07",51.1297246,-2.2431018,0.008,0.011897123418748379,0.1304345279932022,-2.727440595626831,641.0000610351562,1105.5001220703125,"1",0.5047827,51.12972462882505,-2.2431017375627214
18.0,"2019-06-14","13-53-07",51.1297243,-2.2431017,0.014,0.008098804391920567,0.1782664805650711,-2.727043628692627,655.586181640625,1055.4654541015625,"7",0.4042971,51.12972435123913,-2.243101603078195
